x1,y1, z1, x2,y2,z2
-101.153, -93.4261, 33.1121, -176.056, 54.1171, 55.2473
-103.377, -93.4418, 33.3278, -175.901, 53.4285, 54.8081
-105.592, -93.4498, 33.5491, -175.729, 52.7348, 54.3732
-107.798, -93.4499, 33.7759, -175.54, 52.0361, 53.9427
-109.996, -93.442, 34.0083, -175.335, 51.3325, 53.5166
-112.184, -93.4263, 34.2463, -175.113, 50.6239, 53.0948
-114.362, -93.4025, 34.49, -174.874, 49.9105, 52.6776
-116.53, -93.3705, 34.7394, -174.619, 49.1924, 52.2649
-118.688, -93.3304, 34.9945, -174.347, 48.4697, 51.8566
-120.836, -93.2821, 35.2553, -174.059, 47.7423, 51.4529
-122.973, -93.2254, 35.522, -173.754, 47.0105, 51.0538
-125.098, -93.1604, 35.7944, -173.433, 46.2742, 50.6594
-127.213, -93.0869, 36.0726, -173.096, 45.5336, 50.2695
-129.316, -93.0048, 36.3567, -172.742, 44.7887, 49.8843
-131.407, -92.9142, 36.6467, -172.373, 44.0396, 49.5038
-133.485, -92.815, 36.9425, -171.987, 43.2864, 49.1281
-135.551, -92.7071, 37.2443, -171.585, 42.5291, 48.757
-137.605, -92.5903, 37.552, -171.167, 41.768, 48.3907
-139.645, -92.4648, 37.8656, -170.733, 41.0029, 48.0293
-141.672, -92.3304, 38.1853, -170.284, 40.234, 47.6726
-143.685, -92.187, 38.5109, -169.819, 39.4615, 47.3207
-145.684, -92.0346, 38.8425, -169.338, 38.6853, 46.9737
-147.668, -91.8732, 39.1801, -168.841, 37.9055, 46.6315
-149.638, -91.7027, 39.5238, -168.33, 37.1223, 46.2943
-151.593, -91.523, 39.8735, -167.802, 36.3357, 45.9619
-153.533, -91.3341, 40.2293, -167.26, 35.5458, 45.6344
-155.458, -91.1359, 40.5911, -166.703, 34.7527, 45.3119
-157.366, -90.9285, 40.959, -166.13, 33.9565, 44.9943
-159.258, -90.7117, 41.3329, -165.542, 33.1572, 44.6816
-161.134, -90.4855, 41.7129, -164.94, 32.3549, 44.3739
-162.993, -90.2498, 42.099, -164.323, 31.5497, 44.0712
-164.835, -90.0047, 42.4912, -163.691, 30.7417, 43.7735
-166.659, -89.7501, 42.8895, -163.045, 29.931, 43.4807
-168.466, -89.4859, 43.2938, -162.384, 29.1177, 43.193
-170.254, -89.2121, 43.7042, -161.709, 28.3018, 42.9102
-172.025, -88.9287, 44.1207, -161.02, 27.4834, 42.6325
-173.776, -88.6357, 44.5433, -160.317, 26.6625, 42.3598
-175.509, -88.3329, 44.9719, -159.599, 25.8394, 42.092
-177.222, -88.0205, 45.4065, -158.868, 25.0141, 41.8293
-178.916, -87.6984, 45.8472, -158.124, 24.1865, 41.5717
-180.59, -87.3665, 46.2939, -157.365, 23.3569, 41.319
-182.243, -87.0248, 46.7466, -156.593, 22.5253, 41.0714
-183.877, -86.6734, 47.2053, -155.808, 21.6918, 40.8288
-185.489, -86.3121, 47.67, -155.01, 20.8564, 40.5912
-187.08, -85.9411, 48.1406, -154.198, 20.0193, 40.3586
-188.65, -85.5602, 48.6171, -153.374, 19.1805, 40.1311
-190.198, -85.1694, 49.0996, -152.537, 18.3401, 39.9085
-191.725, -84.7689, 49.5879, -151.687, 17.4982, 39.691
-193.229, -84.3585, 50.0821, -150.824, 16.6548, 39.4784
-194.71, -83.9382, 50.5821, -149.949, 15.81, 39.2709
-196.169, -83.5082, 51.0879, -149.062, 14.964, 39.0683
-197.604, -83.0682, 51.5994, -148.163, 14.1167, 38.8707
-199.016, -82.6185, 52.1167, -147.251, 13.2683, 38.678
-200.405, -82.1589, 52.6397, -146.328, 12.4188, 38.4903
-201.769, -81.6895, 53.1684, -145.393, 11.5683, 38.3075
-203.11, -81.2104, 53.7026, -144.446, 10.7169, 38.1297
-204.426, -80.7214, 54.2424, -143.488, 9.86462, 37.9568
-205.717, -80.2227, 54.7878, -142.519, 9.01158, 37.7888
-206.983, -79.7142, 55.3386, -141.538, 8.15783, 37.6256
-208.224, -79.1961, 55.8949, -140.546, 7.30344, 37.4674
-209.44, -78.6682, 56.4566, -139.543, 6.44848, 37.314
-210.629, -78.1307, 57.0236, -138.53, 5.59302, 37.1654
-211.793, -77.5835, 57.5959, -137.506, 4.73714, 37.0217
-212.931, -77.0268, 58.1735, -136.471, 3.88089, 36.8828
-214.042, -76.4605, 58.7563, -135.426, 3.02435, 36.7486
-215.127, -75.8847, 59.3441, -134.371, 2.16759, 36.6192
-216.185, -75.2995, 59.9371, -133.306, 1.31066, 36.4946
-217.215, -74.7048, 60.5351, -132.231, 0.453628, 36.3747
-218.219, -74.1007, 61.138, -131.146, -0.403433, 36.2595
-219.195, -73.4873, 61.7458, -130.052, -1.26047, 36.149
-220.143, -72.8646, 62.3585, -128.948, -2.1174, 36.0432
-221.064, -72.2327, 62.9759, -127.834, -2.97419, 35.942
-221.956, -71.5917, 63.598, -126.712, -3.83076, 35.8454
-222.82, -70.9415, 64.2247, -125.58, -4.68706, 35.7534
-223.656, -70.2823, 64.856, -124.439, -5.54303, 35.6659
-224.463, -69.6142, 65.4918, -123.29, -6.3986, 35.5831
-225.242, -68.9371, 66.132, -122.132, -7.25372, 35.5047
-225.991, -68.2511, 66.7765, -120.965, -8.10834, 35.4308
